Account Name,Opportunity Name,Stage,Close Date,Created Date,Type,Total ACV,Primary Campaign Source,Closed Lost Reason,Law Firm Practice Area,NumofLawyers
"Beattie Padovano, LLC","Beattie Padovano, LLC",Lost,6/12/24,3/7/24,Upsell,12,BDR Outreach,Inertia (Provide Details),Commercial; Litigation; Real Estate,23
"Pashman Stein Walder Hayden, P.C.","Pashman Stein Walder Hayden, P.C., CRM, -Cross-Sell-[O-10155]",Lost,6/13/24,3/6/24,Cross-Sell,12,BDR Outreach,Inertia (Provide Details),Appellate; Bankruptcy; Cannibis; Commercial; Construction; Corporate & Securities; Corporate Governance; Criminal; Elder Law; Employee Benefits; Family; FDA; Government; Healthcare; Insurance; Intellectual Property; Land Use & Zoning; Media; Other; Trusts & Estates,89
Goodsill Anderson Quinn & Stifel,Goodsill Anderson Quinn & Stifel-New-[O-11052],Lost,10/9/24,6/3/24,New,100,Cold Call,Inertia (Provide Details),,54
Hahn & Hahn LLP,Hahn & Hahn LLP-Upsell-[O-7409],Won,1/26/23,1/26/23,Upsell,240,Cold Call,,Bankruptcy; Environmental; Family; Labor & Employment; Land Use & Zoning; Litigation; Other; Real Estate; Trusts & Estates,21
Weiner Law Group LLP,Weiner Law Group LLP-Upsell-[O-7410],Won,2/2/23,1/26/23,Upsell,240,Cold Call,,Business Organizations; Cannibis; Criminal; Education; Family; Government; Intellectual Property; Labor & Employment; Land Use & Zoning; Litigation; Other; Real Estate; Trusts & Estates; Workers Compensation,56
"Sherrard Roe Voigt & Harbison, PLC","Sherrard Roe Voigt & Harbison, PLC-Upsell-[O-7354]",Won,1/6/23,1/6/23,Upsell,261,Cold Call,,Antitrust,40
Winget Spadafora Schwartzberg LLP,Winget Spadafora Schwartzberg LLP-Upsell-[O-8534],Won,7/27/23,6/22/23,Upsell,368.88,No Known Campaign Source,,Insurance; Labor & Employment; Product Liability,48
"Fox, Swibel, Levin & Carroll, LLP","Fox, Swibel, Levin & Carroll, LLP-Upsell-[O-7352]",Won,1/6/23,1/6/23,Upsell,399,Cold Call,,Bankruptcy; Construction; Corporate & Securities; Energy; Finance & Banking; Labor & Employment; Litigation; Real Estate; Restructuring; Tax,46
"Fisher, Tousey, Leas & Ball","Fisher, Tousey, Leas & Ball-Upsell-[O-9295]",Won,9/25/23,9/22/23,Upsell,400.08,Cold Call,,Appellate; Arbitration; Business Organizations; Commercial; Corporate & Securities; Corporate Governance; Elder Law; Family; Mediation; Mergers & Acquisitions; Other; Real Estate; Structured Finance; Tax; Trusts & Estates; Venture Capital,33
"McRae Smith Peek Harman & Monroe, LLP","McRae Smith Peek Harman & Monroe, LLP-Upsell-[O-8163]",Won,5/12/23,5/10/23,Upsell,420,Cold Call,,Appellate; Criminal; Family; Finance & Banking; Litigation; Mediation; Other; Personal Injury; Real Estate; Trusts & Estates; Workers Compensation,15
