Account Name,Opportunity Name,Stage,Close Date,Created Date,Type,Total ACV,Primary Campaign Source,Closed Lost Reason,Law Firm Practice Area,NumofLawyers
"Dalton, Gonzalez and Campbell",Inverse well-modulated implementation,Lost,6/12/24,3/7/24,Upsell,12.0,BDR Outreach,Inertia (Provide Details),Commercial; Litigation; Real Estate,23.0
Allen-Gonzalez,Compatible explicit website,Lost,6/13/24,3/6/24,Cross-Sell,12.0,BDR Outreach,Inertia (Provide Details),Appellate; Bankruptcy; Cannibis; Commercial; Construction; Corporate & Securities; Corporate Governance; Criminal; Elder Law; Employee Benefits; Family; FDA; Government; Healthcare; Insurance; Intellectual Property; Land Use & Zoning; Media; Other; Trusts & Estates,89.0
Clark PLC,Exclusive user-facing capacity,Lost,10/9/24,6/3/24,New,100.0,Cold Call,Inertia (Provide Details),,54.0
"Hooper, Diaz and Wallace",Intuitive bifurcated protocol,Won,1/26/23,1/26/23,Upsell,240.0,Cold Call,,Bankruptcy; Environmental; Family; Labor & Employment; Land Use & Zoning; Litigation; Other; Real Estate; Trusts & Estates,21.0
Martinez and Sons,Versatile contextually-based hierarchy,Won,2/2/23,1/26/23,Upsell,240.0,Cold Call,,Business Organizations; Cannibis; Criminal; Education; Family; Government; Intellectual Property; Labor & Employment; Land Use & Zoning; Litigation; Other; Real Estate; Trusts & Estates; Workers Compensation,56.0
Williams Ltd,Adaptive client-server parallelism,Won,1/6/23,1/6/23,Upsell,261.0,Cold Call,,Antitrust,40.0
Green-Lucas,Extended systematic time-frame,Won,7/27/23,6/22/23,Upsell,368.88,No Known Campaign Source,,Insurance; Labor & Employment; Product Liability,48.0
"Davis, Cameron and Norton",Polarized object-oriented utilization,Won,1/6/23,1/6/23,Upsell,399.0,Cold Call,,Bankruptcy; Construction; Corporate & Securities; Energy; Finance & Banking; Labor & Employment; Litigation; Real Estate; Restructuring; Tax,46.0
Anderson LLC,Integrated high-level knowledgebase,Won,9/25/23,9/22/23,Upsell,400.08,Cold Call,,Appellate; Arbitration; Business Organizations; Commercial; Corporate & Securities; Corporate Governance; Elder Law; Family; Mediation; Mergers & Acquisitions; Other; Real Estate; Structured Finance; Tax; Trusts & Estates; Venture Capital,33.0
Aguilar Inc,Optional client-server attitude,Won,5/12/23,5/10/23,Upsell,420.0,Cold Call,,Appellate; Criminal; Family; Finance & Banking; Litigation; Mediation; Other; Personal Injury; Real Estate; Trusts & Estates; Workers Compensation,15.0
Thompson PLC,Realigned coherent paradigm,Won,5/18/23,5/10/23,Upsell,480.0,No Known Campaign Source,,Appellate,130.0
Dawson-Jenkins,Multi-lateral modular software,Won,1/27/23,1/27/23,Upsell,480.0,Cold Call,,Healthcare; Insurance; Medical Malpractice; Other,6.0
Coffey-Bautista,Intuitive solution-oriented matrix,Lost,3/16/23,2/28/23,Upsell,500.04,No Known Campaign Source,Inertia (Provide Details),Litigation,52.0
"Diaz, Mendoza and Burch",Polarized transitional superstructure,Won,1/25/23,1/25/23,Upsell,500.04,No Known Campaign Source,,Construction; Insurance; Real Estate,48.0
"Miller, Holland and Martinez",Reverse-engineered maximized hierarchy,Won,1/26/23,1/26/23,Upsell,546.0,Cold Call,,Employee Benefits; Labor & Employment; Litigation; Other; Workers Compensation,38.0
"Hendricks, Wilson and Carter",Expanded motivating time-frame,Won,3/9/23,3/2/23,Upsell,567.0,Cold Call,,Antitrust,28.0
"Chavez, Bailey and Schneider",Polarized solution-oriented implementation,Won,1/6/23,1/6/23,Upsell,567.0,Cold Call,,Appellate; Business Organizations; Commercial; Commercial Transactions; Construction; Healthcare; Insurance; Litigation; Other; Product Liability; Transportation,27.0
Brown-Everett,Distributed homogeneous alliance,Won,6/28/24,6/27/24,Upsell,600.0,No Known Campaign Source,,Bankruptcy,77.0
Harmon LLC,Grass-roots client-driven hub,Won,6/14/24,6/12/24,Upsell,600.0,No Known Campaign Source,,Construction; Insurance; Real Estate,48.0
"Morrow, Lopez and Salas",Synergized directional knowledge user,Won,2/8/24,2/8/24,Upsell,600.0,No Known Campaign Source,,Construction; Insurance; Real Estate,48.0
"Davis, Bryant and Moon",Sharable 6thgeneration capacity,Lost,10/11/23,6/5/23,Upsell,600.0,No Known Campaign Source,Inertia (Provide Details),,30.0
"Johnson, Herman and Terry",Persistent value-added frame,Won,5/22/23,5/22/23,Upsell,600.0,No Known Campaign Source,,,42.0
"Baker, Carter and Anderson",Exclusive secondary alliance,Won,4/28/23,4/25/23,Upsell,693.0,Cold Call,,Appellate; Commercial; Construction; Healthcare; Insurance; Legal Malpractice; Litigation; Malpractice; Medical Malpractice; Other; Product Liability; Professional Responsibility,22.0
Torres Ltd,Right-sized reciprocal budgetary management,Won,4/18/24,4/18/24,Upsell,720.0,No Known Campaign Source,,Construction; Corporate Governance; Criminal; Family; Insurance; Land Use & Zoning; Litigation; Mediation; Nonprofit Organizations; Product Liability; Professional Responsibility; Real Estate; Trusts & Estates,46.0
Ramos-Lewis,Programmable multimedia paradigm,Lost,2/20/24,10/5/23,Upsell,800.04,Cold Call,Feature (Provide Details),Class Actions; Other; Personal Injury; Product Liability,21.0
"Price, Walker and Haney",Persevering composite framework,Won,2/8/24,2/8/24,Upsell,825.0,No Known Campaign Source,,Construction; Government; Labor & Employment,30.0
"Reed, Baker and Nixon",Visionary next generation service-desk,Won,7/22/24,7/22/24,New,840.0,email-IGNITE 2024-invite-Austin-040424,,,
Watts Group,Team-oriented coherent success,Won,8/11/23,8/11/23,Upsell,865.08,No Known Campaign Source,,,2.0
Smith-Mathis,Virtual non-volatile middleware,Won,10/18/23,10/18/23,Upsell,960.0,No Known Campaign Source,,Commercial; Construction; Healthcare,53.0
"Woodward, Cannon and Fernandez",Cross-platform homogeneous open architecture,Won,8/4/23,7/28/23,Upsell,960.0,No Known Campaign Source,,Corporate & Securities; Labor & Employment; Real Estate; Trusts & Estates,78.0
"Middleton, Oneill and Collier",Face-to-face reciprocal synergy,Won,6/30/23,6/30/23,Upsell,960.0,No Known Campaign Source,,Commercial; Real Estate; Trusts & Estates,65.0
Sanders-Glover,Expanded zero-defect capacity,Won,11/4/24,11/4/24,Upsell,1200.0,,,Construction; Insurance; Real Estate,48.0
"Marshall, Williams and Dominguez",Organic holistic groupware,Won,10/28/24,10/28/24,Upsell,1200.0,Cold Call,,Commercial; Construction; Criminal; Energy; Environmental; Insurance; Labor & Employment; Litigation; Natural Resources; Other; Professional Responsibility; Transportation,31.0
Smith-Foster,Upgradable interactive workforce,Won,10/18/24,10/18/24,Upsell,1200.0,Cold Call,,Antitrust,22.0
Jones and Sons,Multi-layered national Internet solution,Won,10/14/24,10/14/24,Upsell,1200.0,Check-in Call,,Appellate,26.0
Parker-Jones,Open-source 4thgeneration Local Area Network,Won,10/10/24,10/10/24,Upsell,1200.0,Cold Call,,Commercial; Mergers & Acquisitions; Other; Venture Capital,7.0
"Jones, Edwards and Little",Function-based foreground standardization,Won,9/30/24,9/30/24,Upsell,1200.0,Cold Call,,Administrative; Business Organizations; Family; Other; Tax; Trusts & Estates,5.0
Burns and Sons,Assimilated systemic moderator,Won,9/25/24,9/25/24,Upsell,1200.0,Cold Call,,Administrative; Appellate; Arbitration; Class Actions; Commercial; Construction; Government; Intellectual Property; Litigation; Mediation; Municipal; Other; Real Estate; Trademark; Utilities,13.0
Harper Inc,Realigned heuristic definition,Won,9/25/24,9/25/24,Upsell,1200.0,Cold Call,,Class Actions; Commercial; Construction; Environmental; Litigation; Maritime; Product Liability; Workers Compensation,16.0
"Holmes, Vega and Moyer",Face-to-face reciprocal standardization,Won,9/17/24,9/17/24,Upsell,1200.0,No Known Campaign Source,,Aviation; Bankruptcy; Employee Benefits; Energy; Environmental; Government; Labor & Employment; Land Use & Zoning; Litigation; Native American; Other; Private & Hedge Funds; Public Finance; Public Policy; Railroad; Real Estate; Water,44.0
Yoder and Sons,Realigned fault-tolerant algorithm,Won,9/3/24,9/3/24,Upsell,1200.0,Cold Call,,Commercial; Corporate & Securities; Corporate Governance; Insurance; Maritime; Municipal; Other; Transportation; Workers Compensation,38.0
"Marsh, Johnson and Wise",Cloned homogeneous policy,Won,8/23/24,8/23/24,Upsell,1200.0,Cold Call,,Family; Trusts & Estates,9.0
"Aguirre, Reynolds and Johnson",Virtual contextually-based collaboration,Won,8/21/24,8/22/24,Upsell,1200.0,Cold Call,,Appellate; Arbitration; Class Actions; Commercial; Environmental; Insurance; International; Litigation; Other; Product Liability; Regulatory,28.0
Dixon-Allen,Synergistic optimal framework,Won,8/16/24,8/19/24,Upsell,1200.0,Cold Call,,Arbitration; Construction; Other; Water,24.0
"Lee, Smith and Wise",Profit-focused 6thgeneration workforce,Won,8/9/24,8/9/24,Upsell,1200.0,Cold Call,,Commercial; Mergers & Acquisitions; Other; Venture Capital,7.0
Mccarthy-Garcia,Decentralized 4thgeneration Graphical User Interface,Won,7/26/24,7/26/24,Upsell,1200.0,Cold Call,,Business Organizations; Mergers & Acquisitions; Other; Private & Hedge Funds; Venture Capital,15.0
"Mcdonald, Myers and Sims",Assimilated global policy,Won,6/20/24,6/20/24,Upsell,1200.0,No Known Campaign Source,,Corporate Governance; Government; International; Litigation; Other,24.0
Day Group,Persevering logistical infrastructure,Won,6/11/24,6/11/24,Upsell,1200.0,No Known Campaign Source,,Family,9.0
"Gay, Tanner and White",Decentralized contextually-based capacity,Won,6/4/24,6/4/24,Upsell,1200.0,No Known Campaign Source,,Aviation; Bankruptcy; Employee Benefits; Energy; Environmental; Government; Labor & Employment; Land Use & Zoning; Litigation; Native American; Other; Private & Hedge Funds; Public Finance; Public Policy; Railroad; Real Estate; Water,44.0
Carson-Davenport,Profit-focused web-enabled monitoring,Won,5/31/24,5/31/24,Upsell,1200.0,Cold Call,,Arbitration; Construction; Other; Water,24.0
"Taylor, Schwartz and Powell",User-friendly full-range concept,Won,5/16/24,5/16/24,Upsell,1200.0,No Known Campaign Source,,Business Organizations; Education; Other; Personal Injury; Real Estate; Trusts & Estates,9.0
"Mccann, Black and Ibarra",Organized modular portal,Won,5/10/24,5/10/24,Upsell,1200.0,Cold Call,,Administrative; Business Organizations; Family; Other; Tax; Trusts & Estates,5.0
Park-Willis,Enhanced context-sensitive initiative,Won,4/15/24,4/15/24,Upsell,1200.0,Cold Call,,Business Organizations; Mergers & Acquisitions; Other; Private & Hedge Funds; Venture Capital,15.0
"Blackwell, Smith and Esparza",Monitored fault-tolerant adapter,Won,4/10/24,4/10/24,Upsell,1200.0,Cold Call,,Commercial; Mergers & Acquisitions; Other; Venture Capital,7.0
Jones LLC,Mandatory well-modulated parallelism,Won,3/29/24,3/29/24,Upsell,1200.0,No Known Campaign Source,,Corporate Governance; Government; International; Litigation; Other,24.0
"Jordan, Brady and Acevedo",User-friendly secondary system engine,Won,3/18/24,3/18/24,Upsell,1200.0,No Known Campaign Source,,Aviation; Corporate & Securities; FDA; Intellectual Property; Labor & Employment; Litigation; Media; Other; Real Estate,35.0
Jordan Group,Grass-roots optimal moderator,Won,3/4/24,3/8/24,Upsell,1200.0,Cold Call,,Commercial; Corporate & Securities; Corporate Governance; Insurance; Maritime; Municipal; Other; Transportation; Workers Compensation,38.0
Solis Ltd,Team-oriented user-facing toolset,Won,2/22/24,2/26/24,Upsell,1200.0,Cold Call,,Energy; Healthcare; Insurance; Litigation; Mergers & Acquisitions; Oil & Gas; Other; Real Estate,33.0
Armstrong Group,Fully-configurable 4thgeneration framework,Won,1/22/24,1/22/24,Upsell,1200.0,No Known Campaign Source,,Business Organizations; Corporate & Securities; Family; Finance & Banking; Government; Other; Real Estate,14.0
"Harrison, Lindsey and Valenzuela",Business-focused foreground firmware,Won,1/19/24,1/19/24,Upsell,1200.0,No Known Campaign Source,,Litigation; Medical Malpractice; Other; Personal Injury; Product Liability,9.0
Rodriguez-Brandt,Front-line value-added matrices,Won,1/12/24,1/12/24,Upsell,1200.0,No Known Campaign Source,,Commercial; Family; Litigation; Other; Personal Injury; Trusts & Estates,20.0
"Pham, Lee and Richardson",Mandatory next generation instruction set,Won,12/29/23,12/29/23,Upsell,1200.0,No Known Campaign Source,,Appellate,26.0
Jackson-Green,Customer-focused exuding knowledge user,Won,12/19/23,12/18/23,Upsell,1200.0,Cold Call,,Bankruptcy; Business Organizations; Commercial; Elder Law; Finance & Banking; Litigation; Municipal; Other; Real Estate; Trusts & Estates,7.0
Morgan Ltd,Diverse methodical encoding,Won,12/13/23,12/13/23,Upsell,1200.0,No Known Campaign Source,,Litigation; Medical Malpractice; Other; Personal Injury; Product Liability,9.0
Vincent LLC,Sharable non-volatile protocol,Won,12/1/23,12/1/23,Upsell,1200.0,Cold Call,,Administrative; Appellate; Arbitration; Class Actions; Commercial; Construction; Government; Intellectual Property; Litigation; Mediation; Municipal; Other; Real Estate; Trademark; Utilities,13.0
Pennington Inc,Open-source real-time utilization,Won,12/1/23,12/1/23,Upsell,1200.0,Check-in Call,,Business Organizations; Corporate & Securities; Family; Finance & Banking; Government; Other; Real Estate,14.0
"Sanders, Benton and Chan",Optional systemic hierarchy,Won,11/27/23,11/27/23,Upsell,1200.0,Check-in Call,,Business Organizations; Mergers & Acquisitions; Other; Private & Hedge Funds; Venture Capital,15.0
Brennan-Nguyen,Cross-group dedicated benchmark,Won,11/17/23,11/17/23,Upsell,1200.0,Check-in Call,,Commercial; Corporate & Securities; Corporate Governance; Insurance; Maritime; Municipal; Other; Transportation; Workers Compensation,38.0
"Reynolds, Cummings and Brown",Self-enabling grid-enabled flexibility,Won,11/2/23,11/2/23,Upsell,1200.0,Check-in Call,,Appellate; Corporate & Securities; Healthcare; Immigration; Labor & Employment; Litigation; Real Estate; Tax; Trial & Appellate Litigation,110.0
Fuller Group,Fundamental human-resource interface,Won,10/6/23,10/6/23,Upsell,1200.0,No Known Campaign Source,,Cannibis; Education; Energy; Finance & Banking; Healthcare; Labor & Employment; Land Use & Zoning; Litigation; Other; Real Estate; Workers Compensation,90.0
"Nelson, Wilson and Parks",Public-key leadingedge superstructure,Won,9/26/23,9/26/23,Upsell,1200.0,No Known Campaign Source,,,124.0
Gonzalez-Jennings,Universal exuding moratorium,Won,9/18/23,9/18/23,Upsell,1200.0,No Known Campaign Source,,Business Organizations; Corporate & Securities; Intellectual Property; Other; Real Estate,11.0
"Hawkins, Sherman and Guzman",Fully-configurable cohesive database,Won,9/6/23,9/6/23,Upsell,1200.0,Check-in Call,,Appellate; Corporate & Securities; Healthcare; Immigration; Labor & Employment; Litigation; Real Estate; Tax; Trial & Appellate Litigation,110.0
Miller Group,Vision-oriented disintermediate help-desk,Won,9/1/23,9/1/23,Upsell,1200.0,Service Orders,,Construction; Consumer Protection; Litigation; Other; Product Liability; Real Estate,19.0
Lewis and Sons,Synergistic intermediate moderator,Won,8/31/23,8/31/23,Upsell,1200.0,Cold Call,,Appellate; Commercial; Construction; Insurance; Labor & Employment; Other; Product Liability; Professional Responsibility,33.0
Mitchell LLC,Quality-focused bottom-line website,Won,9/13/23,8/28/23,Upsell,1200.0,No Known Campaign Source,,Bankruptcy; Business Organizations; Corporate & Securities; Finance & Banking; Insurance; International; Litigation; Mergers & Acquisitions; Other; Real Estate; Restructuring; Transportation,16.0
